"_id","_ignored","_index","_score",content,"content.keyword","crawled_date",id,"id.keyword","metadata.category","metadata.category.keyword","metadata.country","metadata.country.keyword","metadata.language","metadata.language.keyword","metadata.pub_date","metadata.region","metadata.region.keyword","processed_at","processed_date","source_name","source_name.keyword","source_type","source_type.keyword",timestamp,title,"title.keyword",url,"url.keyword"
"pv-LN5kBTc8G7TXYZqJ-","-",news,1,"TAUD bantah pernyataan Kompolnas soal adanya blind spot di rantis Brimob yang lindas Affan Kurniawan. Pasalnya rantis tersebut punya kamera eksternal.","TAUD bantah pernyataan Kompolnas soal adanya blind spot di rantis Brimob yang lindas Affan Kurniawan. Pasalnya rantis tersebut punya kamera eksternal.","Sep 11, 2025 @ 13:51:46.683",b8749c3c4d9fa6ea4246df86745b316f,b8749c3c4d9fa6ea4246df86745b316f,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:45:16.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.683","Sep 11, 2025 @ 13:51:46.683",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.568","Bantah Soal Blind Spot, TAUD Sebut Rantis Brimob yang Lindas Affan Punya Kamera Eksternal","Bantah Soal Blind Spot, TAUD Sebut Rantis Brimob yang Lindas Affan Punya Kamera Eksternal","https://megapolitan.kompas.com/read/2025/09/11/12451641/bantah-soal-blind-spot-taud-sebut-rantis-brimob-yang-lindas-affan-punya?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/12451641/bantah-soal-blind-spot-taud-sebut-rantis-brimob-yang-lindas-affan-punya?utm_source=ABC&utm_medium=rss"
"p_-LN5kBTc8G7TXYZqKK","-",news,1,"Presiden Peru prioritaskan pengusutan kasus kematian staf KBRI Lima, Zetro Purba, agar pelaku dapat segera diseret ke pegadilan.","Presiden Peru prioritaskan pengusutan kasus kematian staf KBRI Lima, Zetro Purba, agar pelaku dapat segera diseret ke pegadilan.","Sep 11, 2025 @ 13:51:46.695",2f92907b542a781911db2095fe48e332,2f92907b542a781911db2095fe48e332,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:44:39.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.695","Sep 11, 2025 @ 13:51:46.695",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.568","Presiden Peru Turun Tangan, Minta Kasus Kematian Zetro Diusut dengan Prioritas Tinggi","Presiden Peru Turun Tangan, Minta Kasus Kematian Zetro Diusut dengan Prioritas Tinggi","https://nasional.kompas.com/read/2025/09/11/12443971/presiden-peru-turun-tangan-minta-kasus-kematian-zetro-diusut-dengan?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/12443971/presiden-peru-turun-tangan-minta-kasus-kematian-zetro-diusut-dengan?utm_source=ABC&utm_medium=rss"
"qP-LN5kBTc8G7TXYZqKW","-",news,1,"Lucius Karus mengingatkan DPR RI agar tidak asal-asalan dalam menyusun RUU Perampasan Aset demi kepentingan publik.","Lucius Karus mengingatkan DPR RI agar tidak asal-asalan dalam menyusun RUU Perampasan Aset demi kepentingan publik.","Sep 11, 2025 @ 13:51:46.707",b4cee18d37d06149f0fc2990a4559afb,b4cee18d37d06149f0fc2990a4559afb,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:42:55.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.707","Sep 11, 2025 @ 13:51:46.707",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.569","Formappi Wanti-wanti DPR, RUU Perampasan Aset Jangan Asal Jadi","Formappi Wanti-wanti DPR, RUU Perampasan Aset Jangan Asal Jadi","https://nasional.kompas.com/read/2025/09/11/12425591/formappi-wanti-wanti-dpr-ruu-perampasan-aset-jangan-asal-jadi?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/12425591/formappi-wanti-wanti-dpr-ruu-perampasan-aset-jangan-asal-jadi?utm_source=ABC&utm_medium=rss"
"qf-LN5kBTc8G7TXYZqKm","-",news,1,"Banjir melanda Bali, menyebabkan kemacetan parah dan banyak kendaraan terendam. Ketahui langkah penanganan kendaraan yang tepat!","Banjir melanda Bali, menyebabkan kemacetan parah dan banyak kendaraan terendam. Ketahui langkah penanganan kendaraan yang tepat!","Sep 11, 2025 @ 13:51:46.722",a8f754c0d2466ee0af646abfee8fbe0d,a8f754c0d2466ee0af646abfee8fbe0d,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:42:00.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.722","Sep 11, 2025 @ 13:51:46.722",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.569","Banjir Bali: Menghindari Kerusakan Kendaraan Pasca-Bencana","Banjir Bali: Menghindari Kerusakan Kendaraan Pasca-Bencana","https://otomotif.kompas.com/read/2025/09/11/124200915/banjir-bali--menghindari-kerusakan-kendaraan-pasca-bencana?utm_source=ABC&utm_medium=rss","https://otomotif.kompas.com/read/2025/09/11/124200915/banjir-bali--menghindari-kerusakan-kendaraan-pasca-bencana?utm_source=ABC&utm_medium=rss"
"qv-LN5kBTc8G7TXYZqK1","-",news,1,"Dalam Belt and Road Summit 2025 IFG memaparkan pertumbuhan pasar modal Indonesia menunjukkan tren positif meski ekonomi global belum stabil.","Dalam Belt and Road Summit 2025 IFG memaparkan pertumbuhan pasar modal Indonesia menunjukkan tren positif meski ekonomi global belum stabil.","Sep 11, 2025 @ 13:51:46.737",9f8cf7a932bed10c15f93fd74bb646c5,9f8cf7a932bed10c15f93fd74bb646c5,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:38:52.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.737","Sep 11, 2025 @ 13:51:46.737",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.569","IFG: Pasar Modal Indonesia Tumbuh 5,12 Persen di Tengah Ketidakpastian Global","IFG: Pasar Modal Indonesia Tumbuh 5,12 Persen di Tengah Ketidakpastian Global","https://money.kompas.com/read/2025/09/11/123852826/ifg-pasar-modal-indonesia-tumbuh-512-persen-di-tengah-ketidakpastian-global?utm_source=ABC&utm_medium=rss","https://money.kompas.com/read/2025/09/11/123852826/ifg-pasar-modal-indonesia-tumbuh-512-persen-di-tengah-ketidakpastian-global?utm_source=ABC&utm_medium=rss"
"q_-LN5kBTc8G7TXYZqLG","-",news,1,"Tim kuasa hukum Nikita Mirzani mengajukan permohonan pengobatan lanjutan sakit gigi kliennya di luar Rutan Pondok Bambu.","Tim kuasa hukum Nikita Mirzani mengajukan permohonan pengobatan lanjutan sakit gigi kliennya di luar Rutan Pondok Bambu.","Sep 11, 2025 @ 13:51:46.755",57c2e3f4ffb811d661ae6daeee669848,57c2e3f4ffb811d661ae6daeee669848,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:20:47.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.755","Sep 11, 2025 @ 13:51:46.755",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.569","Pengacara Ajukan Permohonan Pengobatan Lanjutan Sakit Gigi Nikita Mirzani","Pengacara Ajukan Permohonan Pengobatan Lanjutan Sakit Gigi Nikita Mirzani","https://megapolitan.kompas.com/read/2025/09/11/12204781/pengacara-ajukan-permohonan-pengobatan-lanjutan-sakit-gigi-nikita-mirzani?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/12204781/pengacara-ajukan-permohonan-pengobatan-lanjutan-sakit-gigi-nikita-mirzani?utm_source=ABC&utm_medium=rss"
"rP-LN5kBTc8G7TXYZqLU","-",news,1,"Berikut skema cicilan SUV bekas dengan DP 30 persen dan tenor hingga 4 tahun yang bisa menjadi pilihan bagi konsumen.","Berikut skema cicilan SUV bekas dengan DP 30 persen dan tenor hingga 4 tahun yang bisa menjadi pilihan bagi konsumen.","Sep 11, 2025 @ 13:51:46.769",383c72e11526b99a0cd4c9d6c77a0f31,383c72e11526b99a0cd4c9d6c77a0f31,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:12:00.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.769","Sep 11, 2025 @ 13:51:46.769",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.569","Skema Cicilan SUV Bekas: Pajero Sport dan CR-V mulai Rp 4 Jutaan","Skema Cicilan SUV Bekas: Pajero Sport dan CR-V mulai Rp 4 Jutaan","https://otomotif.kompas.com/read/2025/09/11/121200815/skema-cicilan-suv-bekas--pajero-sport-dan-cr-v-mulai-rp-4-jutaan?utm_source=ABC&utm_medium=rss","https://otomotif.kompas.com/read/2025/09/11/121200815/skema-cicilan-suv-bekas--pajero-sport-dan-cr-v-mulai-rp-4-jutaan?utm_source=ABC&utm_medium=rss"
"rf-LN5kBTc8G7TXYZqLm","-",news,1,"Detasemen Polisi Militer Kodam Jaya masih periksa prajurit TNI yang terlibat dalam penculikan dan pembunuhan kacab bank BUMN, Mohamad Ilham Pradipta.","Detasemen Polisi Militer Kodam Jaya masih periksa prajurit TNI yang terlibat dalam penculikan dan pembunuhan kacab bank BUMN, Mohamad Ilham Pradipta.","Sep 11, 2025 @ 13:51:46.787",7c9aba099b197bfc801ff6b6a8af6f31,7c9aba099b197bfc801ff6b6a8af6f31,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 12:11:34.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.787","Sep 11, 2025 @ 13:51:46.787",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.569","Oknum TNI yang Terlibat Penculikan-Pembunuhan Kacab Bank BUMN Masih Diperiksa","Oknum TNI yang Terlibat Penculikan-Pembunuhan Kacab Bank BUMN Masih Diperiksa","https://megapolitan.kompas.com/read/2025/09/11/12113431/oknum-tni-yang-terlibat-penculikan-pembunuhan-kacab-bank-bumn-masih?utm_source=ABC&utm_medium=rss","https://megapolitan.kompas.com/read/2025/09/11/12113431/oknum-tni-yang-terlibat-penculikan-pembunuhan-kacab-bank-bumn-masih?utm_source=ABC&utm_medium=rss"
"rv-LN5kBTc8G7TXYZqL1","-",news,1,"Habib Muhsin Ahmad Alatas usulkan BPIP diberi kewenangan menegur lembaga negara yang melenceng dari Pancasila.","Habib Muhsin Ahmad Alatas usulkan BPIP diberi kewenangan menegur lembaga negara yang melenceng dari Pancasila.","Sep 11, 2025 @ 13:51:46.802",008c02559e4abaa4cd9657b51d64692f,008c02559e4abaa4cd9657b51d64692f,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:45:58.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.802","Sep 11, 2025 @ 13:51:46.802",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","BPIP Diusulkan Diberi Kewenangan Tegur Lembaga Melenceng dari Pancasila","BPIP Diusulkan Diberi Kewenangan Tegur Lembaga Melenceng dari Pancasila","https://nasional.kompas.com/read/2025/09/11/13455871/bpip-diusulkan-diberi-kewenangan-tegur-lembaga-melenceng-dari-pancasila?utm_source=ABC&utm_medium=rss","https://nasional.kompas.com/read/2025/09/11/13455871/bpip-diusulkan-diberi-kewenangan-tegur-lembaga-melenceng-dari-pancasila?utm_source=ABC&utm_medium=rss"
"r_-LN5kBTc8G7TXYZ6IG","-",news,1,"Chromebook ringan, cepat, dan aman untuk aktivitas online,  namun memiliki fitur terbatas dan kurang cocok untuk kerja berat.","Chromebook ringan, cepat, dan aman untuk aktivitas online,  namun memiliki fitur terbatas dan kurang cocok untuk kerja berat.","Sep 11, 2025 @ 13:51:46.820",39ca236206c8dfc8621c55d510b1c7c6,39ca236206c8dfc8621c55d510b1c7c6,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:35:00.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.819","Sep 11, 2025 @ 13:51:46.820",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","Apa Itu Laptop Chromebook, Fitur-fitur, Kelebihan dan Kekurangannya","Apa Itu Laptop Chromebook, Fitur-fitur, Kelebihan dan Kekurangannya","https://tekno.kompas.com/read/2025/09/11/13350087/apa-itu-laptop-chromebook-fitur-fitur-kelebihan-dan-kekurangannya-?utm_source=ABC&utm_medium=rss","https://tekno.kompas.com/read/2025/09/11/13350087/apa-itu-laptop-chromebook-fitur-fitur-kelebihan-dan-kekurangannya-?utm_source=ABC&utm_medium=rss"
"sP-LN5kBTc8G7TXYZ6IW","-",news,1,"Larry Ellison sempat mengalahkan Elon Musk sebagai orang terkaya di dunia 2025. Namun, posisinya hanya bertahan beberapa jam sebelum Musk unggul lagi.","Larry Ellison sempat mengalahkan Elon Musk sebagai orang terkaya di dunia 2025. Namun, posisinya hanya bertahan beberapa jam sebelum Musk unggul lagi.","Sep 11, 2025 @ 13:51:46.835",98dd6c3926905af90cd1d3434f3c2c70,98dd6c3926905af90cd1d3434f3c2c70,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:35:00.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.835","Sep 11, 2025 @ 13:51:46.835",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.564","Larry Ellison Kalahkan Elon Musk Sebagai Orang Terkaya di Dunia 2025, tapi Hanya Sebentar","Larry Ellison Kalahkan Elon Musk Sebagai Orang Terkaya di Dunia 2025, tapi Hanya Sebentar","https://lifestyle.kompas.com/read/2025/09/11/133500220/larry-ellison-kalahkan-elon-musk-sebagai-orang-terkaya-di-dunia-2025-tapi?utm_source=ABC&utm_medium=rss","https://lifestyle.kompas.com/read/2025/09/11/133500220/larry-ellison-kalahkan-elon-musk-sebagai-orang-terkaya-di-dunia-2025-tapi?utm_source=ABC&utm_medium=rss"
"sf-LN5kBTc8G7TXYZ6Iq","-",news,1,"Kementerian Pekerjaan Umum (PU) akan merehabilitasi 43 unit bangunan yang rusak akibat aksi demo pada akhir Agustus 2025.","Kementerian Pekerjaan Umum (PU) akan merehabilitasi 43 unit bangunan yang rusak akibat aksi demo pada akhir Agustus 2025.","Sep 11, 2025 @ 13:51:46.854",5bbd148a731fce2cddd28c2ab64e0bfb,5bbd148a731fce2cddd28c2ab64e0bfb,general,general,Indonesia,Indonesia,id,id,"Sep 11, 2025 @ 13:33:06.000",Indonesia,Indonesia,"Sep 11, 2025 @ 13:51:46.854","Sep 11, 2025 @ 13:51:46.854",Kompas,Kompas,news,news,"Sep 11, 2025 @ 13:51:35.565","43 Bangunan Rusak Pasca-demo Siap Direhabilitasi, Ini Daftarnya","43 Bangunan Rusak Pasca-demo Siap Direhabilitasi, Ini Daftarnya","https://www.kompas.com/properti/read/2025/09/11/133306121/43-bangunan-rusak-pasca-demo-siap-direhabilitasi-ini-daftarnya?utm_source=ABC&utm_medium=rss","https://www.kompas.com/properti/read/2025/09/11/133306121/43-bangunan-rusak-pasca-demo-siap-direhabilitasi-ini-daftarnya?utm_source=ABC&utm_medium=rss"
